panel,session,feature,model,mode,balanced_accuracy,perm_pvalue,best_h_m
forecast,PDI1_S4,xp_1,DPAD,behavioral,,,
forecast,PDI1_S4,xp_2,DPAD,behavioral,,,
forecast,PDI1_S4,xp_with_dbs,DPAD,behavioral,,,
forecast,PDI4_S2,xp,DPAD,behavioral,,,
forecast,PDI4_S2,xp_1,DPAD,behavioral,,,
forecast,PDI4_S2,xp_2,DPAD,behavioral,,,
forecast,PDI4_S2,xp_with_dbs,DPAD,behavioral,,,
forecast,PDI4_S3,xp,DPAD,behavioral,,,
forecast,PDI4_S3,xp_1,DPAD,behavioral,,,
forecast,PDI4_S3,xp_2,DPAD,behavioral,,,
forecast,PDI4_S3,xp_with_dbs,DPAD,behavioral,,,
forecast,PDI1_S2 (lap),xp,DPAD,laplacian,,,
forecast,PDI1_S2 (lap),xp_1,DPAD,laplacian,,,
forecast,PDI1_S2 (lap),xp_2,DPAD,laplacian,,,
forecast,PDI1_S2 (lap),xp_with_dbs,DPAD,laplacian,,,
forecast,PDI1_S4 (lap),xp,DPAD,laplacian,,,
forecast,PDI1_S4 (lap),xp_1,DPAD,laplacian,,,
forecast,PDI1_S4 (lap),xp_2,DPAD,laplacian,,,
forecast,PDI1_S4 (lap),xp_with_dbs,DPAD,laplacian,,,
forecast,PDI4_S2 (lap),xp,DPAD,laplacian,,,
forecast,PDI4_S2 (lap),xp_1,DPAD,laplacian,,,
forecast,PDI4_S2 (lap),xp_2,DPAD,laplacian,,,
forecast,PDI4_S2 (lap),xp_with_dbs,DPAD,laplacian,,,
forecast,PDI4_S3 (lap),xp,DPAD,laplacian,,,
forecast,PDI4_S3 (lap),xp_1,DPAD,laplacian,,,
forecast,PDI4_S3 (lap),xp_2,DPAD,laplacian,,,
forecast,PDI4_S3 (lap),xp_with_dbs,DPAD,laplacian,,,
