mode,cell,condition,variant,recon_Y_recon_r,recon_Y_recon_rmse,recon_Z_recon_r,recon_Z_recon_rmse,recon_Yf_r,recon_Yf_rmse,recon_Zf_r,recon_Zf_rmse,BA_prediction_None_None,BA_forecast_1.0_0.5,BA_forecast_1.0_1.0,BA_forecast_2.0_0.5,BA_forecast_2.0_1.0,BA_forecast_3.0_0.5,BA_forecast_3.0_1.0
behavioral,PDI4_S2,rts_clip,psid_behavioral_PDI4_2_nx_50_n10_i100_dbs_both_200Hz_narrow_band_optA_rts_clip,0.8879302474655564,0.29424984268316157,-4.163579032939908e-05,12912.068241621722,0.1069061427792839,1.2167581877450624,-0.05451546365626153,12201.432380464908,0.6834687052078356,0.5490842490842491,0.5641025641025641,0.6831501831501832,0.5291208791208791,0.6860805860805861,0.6269230769230769
behavioral,PDI4_S2,fb_clip,psid_behavioral_PDI4_2_nx_50_n10_i100_dbs_both_200Hz_narrow_band,0.8879302474655564,0.29424984268316157,-0.00395973488495326,12920.256417292961,0.0997243921961464,1.2186577277345054,-0.047101447346831964,12196.93940846142,0.6834687052078356,0.5648351648351648,0.5976190476190476,0.6604395604395604,0.6269230769230769,0.6989010989010989,0.6604395604395604
behavioral,PDI4_S3,rts_light,psid_behavioral_PDI4_3_nx_50_n10_i100_dbs_both_200Hz_narrow_band_rts_noclip,0.8125955865955392,0.6987574148397321,0.02507914594586346,20959.09783728588,0.0839794183926399,2.6965048144193133,-0.02145756999282136,8417.484788083482,0.7266426936907486,0.6409774436090225,0.650375939849624,0.6695488721804511,0.5866541353383459,0.7518796992481203,0.5597744360902255
behavioral,PDI4_S3,fb_light,psid_behavioral_PDI4_3_nx_50_n10_i100_dbs_both_200Hz_narrow_band_fb_noclip,0.8125955865955402,0.6987574148397222,0.018095504775793338,21618.486493475517,0.07450221884579547,2.703770120985788,-0.03464095045745652,8455.42409852723,0.7266426936907486,0.6409774436090225,0.649812030075188,0.6849624060150377,0.5718045112781955,0.7650375939849624,0.5932330827067669
behavioral,PDI4_S3,rts_clip,psid_behavioral_PDI4_3_nx_50_n10_i100_dbs_both_200Hz_narrow_band_optA_rts_clip,0.8125964384897375,0.6987640089694092,0.02478024952092884,20959.101312051152,0.08409817730712763,2.6954819467643523,-0.022449733826861624,8386.090346477287,0.7266426936907486,0.6409774436090225,0.650375939849624,0.6695488721804511,0.5866541353383459,0.7518796992481203,0.5597744360902255
behavioral,PDI4_S3,fb_clip,psid_behavioral_PDI4_3_nx_50_n10_i100_dbs_both_200Hz_narrow_band,0.8125964384897375,0.6987640089694092,0.006284112999875123,21500.064603449548,0.07461821671868626,2.702746549945829,-0.03579954757001126,8423.31776636963,0.7266426936907486,0.6552631578947368,0.656390977443609,0.6849624060150377,0.5718045112781955,0.7650375939849624,0.5932330827067669
laplacian,PDI1_S2,rts_light,psid_laplacian_PDI1_2_nx_55_n15_i100_dbs_both_200Hz_narrow_band_rts_noclip,0.86070326073805,0.6624994238810135,-0.009557723547992428,3.1917499900305977,0.10752623071198962,2.017821608790198,0.01275523851942959,2.2934974433268667,0.5868271221532091,0.6175595238095238,0.5580357142857143,0.7425595238095238,0.5297619047619048,0.5595238095238095,0.5639880952380952
laplacian,PDI1_S2,fb_light,psid_laplacian_PDI1_2_nx_55_n15_i100_dbs_both_200Hz_narrow_band_fb_noclip,0.8607032607380505,0.6624994238810159,-0.0041070318175737515,3.1916485547691136,0.0994566090318369,2.0207621656418633,-0.0035876309529834466,2.2933228916413313,0.5868271221532091,0.6443452380952381,0.5186011904761905,0.7648809523809523,0.5186011904761905,0.5625,0.5892857142857143
laplacian,PDI1_S2,rts_clip,psid_laplacian_PDI1_2_nx_55_n15_i100_dbs_both_200Hz_narrow_band_optA_rts_clip,0.8607032607380505,0.6624994238810159,-0.009557723547992612,3.191749990030598,0.10752623071199055,2.0178216087902,0.0127552385194294,2.2934974433268662,0.5868271221532091,0.6175595238095238,0.5580357142857143,0.7425595238095238,0.5297619047619048,0.5595238095238095,0.5639880952380952
laplacian,PDI1_S2,fb_clip,psid_laplacian_PDI1_2_nx_55_n15_i100_dbs_both_200Hz_narrow_band,0.8607032607380505,0.6624994238810159,-0.0041172286030120644,3.1916401706427697,0.0994566090318369,2.0207621656418633,-0.0035876309529834466,2.2933228916413313,0.5868271221532091,0.6443452380952381,0.5186011904761905,0.7648809523809523,0.5186011904761905,0.5625,0.5892857142857143
laplacian,PDI1_S4,rts_light,psid_laplacian_PDI1_4_nx_50_n10_i100_dbs_both_200Hz_narrow_band_rts_noclip,0.8042635773716403,2.282193679166473,0.002064967536875097,18.85215294982504,0.030854885419553633,3.950788789881031,0.023462336619488617,8.181016737325796,0.7919082125603865,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7694444444444444,0.7694444444444444
laplacian,PDI1_S4,fb_light,psid_laplacian_PDI1_4_nx_50_n10_i100_dbs_both_200Hz_narrow_band_fb_noclip,0.8042635773716358,2.2821936791664847,-0.0007233372223993614,18.856085680324373,0.02549482604813403,3.9567810801461967,0.026160350425988,8.178478372378203,0.7919082125603865,0.7694444444444444,0.7694444444444444,0.7833333333333333,0.7833333333333333,0.7861111111111111,0.7861111111111111
laplacian,PDI1_S4,rts_clip,psid_laplacian_PDI1_4_nx_50_n10_i100_dbs_both_200Hz_narrow_band_optA_rts_clip,0.8042263966987269,2.2822166511910185,0.0020645597136279745,18.85215294494594,0.030854852841852708,3.9507265502939637,0.02346386820171909,8.181016748007304,0.7919082125603865,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7694444444444444,0.7694444444444444
laplacian,PDI1_S4,fb_clip,psid_laplacian_PDI1_4_nx_50_n10_i100_dbs_both_200Hz_narrow_band,0.8042263966987269,2.2822166511910185,-0.0007392459058219905,18.856086131200666,0.02549254926171194,3.956721184860474,0.026160397037381284,8.178478410931938,0.7919082125603865,0.7694444444444444,0.7694444444444444,0.7833333333333333,0.7833333333333333,0.7861111111111111,0.7861111111111111
laplacian,PDI4_S2,rts_light,psid_laplacian_PDI4_2_nx_50_n10_i100_dbs_both_200Hz_narrow_band_rts_noclip,0.8446908628139989,0.360918650195018,0.004768938133001281,15.235517764176,0.05025381528994734,1.1167910356021682,-7.945222556729342e-05,11.45998967859467,0.6180761267717789,0.6619047619047619,0.6668498168498169,0.6648351648351649,0.589010989010989,0.6476190476190475,0.6412087912087912
laplacian,PDI4_S2,fb_light,psid_laplacian_PDI4_2_nx_50_n10_i100_dbs_both_200Hz_narrow_band_fb_noclip,0.8446908628139994,0.36091865019501784,0.00842456269371744,15.222697133014627,0.04254170088001695,1.1202914761906837,-0.00233973136459856,11.457609641756491,0.6180761267717789,0.7003663003663003,0.6483516483516484,0.6490842490842491,0.6032967032967033,0.7161172161172161,0.6483516483516484
laplacian,PDI4_S2,rts_clip,psid_laplacian_PDI4_2_nx_50_n10_i100_dbs_both_200Hz_narrow_band_optA_rts_clip,0.8446904593015008,0.36092407224572637,0.004768763942868547,15.23551775601442,0.050262108074918876,1.1166705033758832,-8.995681167737735e-05,11.460001804220564,0.6180761267717789,0.6619047619047619,0.6668498168498169,0.6648351648351649,0.589010989010989,0.6476190476190475,0.6412087912087912
laplacian,PDI4_S2,fb_clip,psid_laplacian_PDI4_2_nx_50_n10_i100_dbs_both_200Hz_narrow_band,0.8446904593015008,0.36092407224572637,0.00842445859188965,15.222698987694958,0.042548720211300496,1.12017101196219,-0.002352355764544095,11.457626598386565,0.6180761267717789,0.7003663003663003,0.6483516483516484,0.6490842490842491,0.6032967032967033,0.7161172161172161,0.6483516483516484
laplacian,PDI4_S3,rts_light,psid_laplacian_PDI4_3_nx_50_n10_i100_dbs_both_200Hz_narrow_band_rts_noclip,0.87128398462079,0.3960986771687142,0.025586194637161518,4.739981716252712,0.09849801602527164,1.852433613355397,0.007918144497251653,3.390095261140277,0.8293559986923831,0.5586466165413534,0.6398496240601503,0.7541353383458647,0.6635338345864662,0.7387218045112782,0.6843984962406015
laplacian,PDI4_S3,fb_light,psid_laplacian_PDI4_3_nx_50_n10_i100_dbs_both_200Hz_narrow_band_fb_noclip,0.8712839846207909,0.3960986771687128,-0.005908203880876655,4.751904317171912,0.08859971139976236,1.8594422115671339,0.02039237208257971,3.3907754325274095,0.8293559986923831,0.5015037593984962,0.5701127819548872,0.6981203007518797,0.6772556390977443,0.737593984962406,0.6695488721804511
laplacian,PDI4_S3,rts_clip,psid_laplacian_PDI4_3_nx_50_n10_i100_dbs_both_200Hz_narrow_band_optA_rts_clip,0.8712839846207909,0.3960986771687128,0.02558619463716171,4.739981716252711,0.09849801602527465,1.8524336133553998,0.007918144497252451,3.390095261140277,0.8293559986923831,0.5586466165413534,0.6398496240601503,0.7541353383458647,0.6635338345864662,0.7387218045112782,0.6843984962406015
laplacian,PDI4_S3,fb_clip,psid_laplacian_PDI4_3_nx_50_n10_i100_dbs_both_200Hz_narrow_band,0.8712839846207909,0.3960986771687128,-0.005908203880876655,4.751904317171912,0.08859971139976236,1.8594422115671339,0.02039237208257971,3.3907754325274095,0.8293559986923831,0.5015037593984962,0.5701127819548872,0.6981203007518797,0.6772556390977443,0.737593984962406,0.6695488721804511
