variant,target,session,metric,value
FB+A,ecog_Y,PDI4_S2,pearson,0.889610861272485
FB+A,ecog_Y,PDI4_S2,vaf,0.7490430220683802
FB+A,ecog_Y,PDI4_S3,rmse,0.4544361213514248
FB+A,ecog_Y,PDI4_S3,pearson,0.8120146906581625
FB+A,ecog_Y,PDI4_S3,vaf,0.7307300713882263
FB+A,lap_Z,PDI1_S2,rmse,1.019563652275142
FB+A,lap_Z,PDI1_S2,pearson,-0.0021638191146271875
FB+A,lap_Z,PDI1_S2,vaf,-0.041030748103736865
FB+A,lap_Z,PDI1_S4,rmse,1.0009499704254385
FB+A,lap_Z,PDI1_S4,pearson,-0.0024666721692865753
FB+A,lap_Z,PDI1_S4,vaf,-0.001942578355388443
FB+A,lap_Z,PDI4_S2,rmse,1.012525301826994
FB+A,lap_Z,PDI4_S2,pearson,0.0145338398607032
FB+A,lap_Z,PDI4_S2,vaf,-0.02986908831269737
FB+A,lap_Z,PDI4_S3,rmse,1.033443688534063
FB+A,lap_Z,PDI4_S3,pearson,0.005252853998455723
FB+A,lap_Z,PDI4_S3,vaf,-0.07165976093369242
